Idade ;Género;Estado Civil ;Nível de Escolaridade ;Qual o Concelho em que vive;Distrito de Residência;Região de Residência;Qual o Concelho de destino da maioria das deslocações quotidianas;Qual o modo de transporte que MAIS usa diariamente?;Utiliza outro modo de transporte diariamente? Indique quais;Qual a distância de sua casa até ao local de destino mais habitual (em km)?;Quanto tempo demora de casa ao local de destino mais habitual?;Costuma usar a bicicleta maioritariamente para ;Como Modo de Transporte utiliza a Bicicleta quantos dias por semana?;Gostaria de usar mais vezes a bicicleta na deslocação diária (como modo de transporte)?;Porque não usa a bicicleta como modo de transporte?;O que o/a faria usar (ou usar mais) a bicicleta como modo de transporte?;Quantos  pedala por semana, enquanto modo de transporte?;Qual o tipo de bicicleta que mais utiliza?;Em média quantos dias por semana pedala (considerando todos os modos);Quantos km pedala por semana, enquanto lazer?;Quanto km pedala por semana, enquanto deporto?
15-19 anos;Feminino;Solteiro/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Transporte Público;A pé, De Carro (Passageiro);20;21 a 35 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito, Moro longe;Nada, não gosto.;;;;;
15-19 anos;Feminino;Casado/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Transporte Público;De Carro (Passageiro);20;21 a 35 minutos;Não uso;;;Não gosto de andar de bicicleta;Nada, não gosto., Receber por cada km que pedalasse;;;;;
50-54 anos;Feminino;Casado/a;Licenciatura;Cascais;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Para Lazer;;Não;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino;0;Bicicleta Elétrica;1;5;
35-39 anos;Masculino;Casado/a;Licenciatura;Cascais;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Mota (condutor);De Bicicleta;20;mais de 36 minutos;Para Desporto;2;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;80;Bicicleta de Estrada;3;10;80
55-59 anos;Masculino;Solteiro/a;Doutoramento;Cascais;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);De Bicicleta, De Transporte Público;20;mais de 36 minutos;Para Desporto;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte;8;Bicicleta de Estrada, Bicicleta de Montanha;2;;100
45-49 anos;Feminino;Casado/a;Licenciatura;Cascais;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Transporte Público;A pé;20;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Preocupa-me que quem anda de carro não me respeite na bicicleta, Não quero chegar suado;Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;;;;;
45-49 anos;Feminino;Divorciado/a;Licenciatura;Cascais;Lisboa;Área Metropolitana de Lisboa;Sintra;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Não uso;;;Não tenho bicicleta, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Moro longe, Não quero chegar suado, Não acho prático, É perigoso andar de bicicleta;Só se passasse a morar mais perto do destino;;;;;
50-54 anos;Masculino;Casado/a;Ensino Secundário;Cascais;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé;20;21 a 35 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino;0;Bicicleta de Estrada;2;;90
35-39 anos;Masculino;Unido de Facto;Mestrado;Cascais;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Transporte Público;A pé, De Bicicleta;20;mais de 36 minutos;Como Modo de Transporte;4;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;35;Bicicleta Elétrica, Bicicleta de Estrada;5;10;50
50-54 anos;Masculino;Solteiro/a;Licenciatura;Cascais;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);De Mota (condutor);20;21 a 35 minutos;Para Desporto;;Não;;Nada, não gosto.;0;Bicicleta de Estrada;5;;400
50-54 anos;Masculino;Casado/a;Mestrado;Cascais;Lisboa;Área Metropolitana de Lisboa;Oeiras;De Carro (Condutor);Mais nenhum;20;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Estrada;1;;80
65-69 anos;Masculino;Unido de Facto;Mestrado;Cascais;Lisboa;Área Metropolitana de Lisboa;Cascais;De Carro (Condutor);De Bicicleta, De Mota (Passageiro);20;21 a 35 minutos;Para Desporto;1;Sim;;Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Ter mais soluções de segurança rodoviária ;10;Bicicleta de Estrada;4;10;100
35-39 anos;Masculino;Solteiro/a;Ensino Básico (2º Ciclo);Coimbra;Coimbra;Centro;Coimbra;De Transporte Público;A pé, De Bicicleta, De Transporte Público;20;5 a 20 minutos;Como Modo de Transporte;1;Sim;;Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter vantagens por ir de bicicleta para o destino;10;Bicicleta Urbana/Convencional;6;20;5
40-44 anos;Masculino;Casado/a;Licenciatura;Condeixa-a-Nova;Coimbra;Centro;Coimbra;De Carro (Condutor);A pé;20;21 a 35 minutos;Para Lazer;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada;1;5;
35-39 anos;Feminino;Casado/a;Licenciatura;Condeixa-a-Nova;Coimbra;Centro;Coimbra;De Carro (Condutor);De Carro (Passageiro);20;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Moro longe, Não quero chegar molhado, Não quero chegar suado;Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter vantagens por ir de bicicleta para o destino, Conseguir articular o uso da bicicleta com outro modo de transporte;;;;;
35-39 anos;Feminino;Casado/a;Licenciatura;Estarreja;Aveiro;Centro;Aveiro;De Carro (Passageiro);A pé, De Transporte Público;20;21 a 35 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Montanha;1;10;10
45-49 anos;Masculino;Casado/a;Ensino Secundário;Faro;Faro;Algarve;Faro;De Carro (Condutor);A pé, De Bicicleta, De Carro (Passageiro);20;5 a 20 minutos;Para Lazer;;Sim;;Não me posso deslocar de bicicleta;0;Bicicleta de Estrada;4;200;
40-44 anos;Masculino;Casado/a;Licenciatura;Figueira da Foz;Coimbra;Centro;Coimbra;De Carro (Condutor);A pé, De Bicicleta;20;21 a 35 minutos;Para Desporto;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Não ter de fazer 30km para deixar o meu filho na escola;15;Bicicleta de Estrada;2;25;200
40-44 anos;Masculino;Casado/a;Ensino Secundário;Guimarães;Braga;Norte;Braga;De Mota (condutor);De Carro (Condutor);20;21 a 35 minutos;Não uso;;;Não tenho bicicleta;Ter uma bicicleta;;;;;
30-34 anos;Feminino;Unido de Facto;Licenciatura;Guimarães;Braga;Norte;Vila Nova de Famalicão;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino;0;Bicicleta Urbana/Convencional;1;20;20
40-44 anos;Feminino;Solteiro/a;Licenciatura;Guimarães;Braga;Norte;Braga;De Carro (Condutor);A pé;20;21 a 35 minutos;Não uso;;;Moro longe, Não tenho equipamento;O meu trabalho não me permite usar a bicicleta;;;;;
40-44 anos;Feminino;Solteiro/a;Mestrado;Ílhavo;Aveiro;Centro;Aveiro;A pé;De Bicicleta, De Carro (Condutor);20;21 a 35 minutos;Como Modo de Transporte;2;Sim;;Ter tempo;25;Bicicleta Urbana/Convencional;2;25;25
25-29 anos;Masculino;Unido de Facto;Mestrado;Ílhavo;Aveiro;Centro;Aveiro;De Carro (Condutor);Mais nenhum;20;5 a 20 minutos;Não uso;;;Não tenho bicicleta, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Moro longe, Não quero chegar molhado, Não quero chegar suado, É perigoso andar de bicicleta;Só se passasse a morar mais perto do destino;;;;;
50-54 anos;Masculino;Divorciado/a;Licenciatura;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé, De Bicicleta;20;21 a 35 minutos;Para Lazer;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;40;Bicicleta de Estrada, Bicicleta de Montanha;4;50;50
50-54 anos;Feminino;Divorciado/a;Mestrado;Lisboa;Lisboa;Área Metropolitana de Lisboa;Loures;De Carro (Condutor);Mais nenhum;20;5 a 20 minutos;Não uso;;;Não tenho bicicleta;Ter ciclovias seguras de casa até ao meu destino;;;;;
50-54 anos;Feminino;Casado/a;Licenciatura;Lisboa;Lisboa;Área Metropolitana de Lisboa;Oeiras;De Transporte Público;A pé;20;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Dobrável;1;;
75-79 anos;Masculino;Divorciado/a;Licenciatura;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);De Bicicleta, De Mota (condutor);20;21 a 35 minutos;Para Desporto;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;10;Bicicleta de Montanha;3;50;20
45-49 anos;Masculino;Unido de Facto;Ensino Secundário;Loures;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Bicicleta;De Transporte Público;20;21 a 35 minutos;Como Modo de Transporte;5;Sim;;Mais nada, já vou de bicicleta;270;Bicicleta de Estrada;5;1;30
45-49 anos;Masculino;Casado/a;Ensino Básico (3.º Ciclo);Loures;Lisboa;Área Metropolitana de Lisboa;Loures;De Carro (Condutor);De Carro (Passageiro);20;mais de 36 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Receber por cada km que pedalasse;0;Bicicleta de Estrada, Bicicleta de Montanha;6;;300
50-54 anos;Masculino;Casado/a;Ensino Básico (3.º Ciclo);Loures;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Para Lazer;;Não;;Não me posso deslocar de bicicleta;0;Bicicleta de Estrada, Bicicleta de Montanha;1;75;
55-59 anos;Masculino;Casado/a;Ensino Secundário;Loures;Lisboa;Área Metropolitana de Lisboa;Loures;De Carro (Condutor);De Transporte Público;20;5 a 20 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;2;50;
45-49 anos;Masculino;Unido de Facto;Licenciatura;Loures;Lisboa;Área Metropolitana de Lisboa;Amadora;De Carro (Condutor);De Trotinete;20;mais de 36 minutos;Para Desporto;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;2;;60
40-44 anos;Masculino;Casado/a;Formação Técnica;Lourinhã;Lisboa;Centro;Torres Vedras;De Carro (Condutor);A pé;20;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino;0;Bicicleta de Estrada, Bicicleta de Montanha;1;50;50
40-44 anos;Masculino;Solteiro/a;Ensino Secundário;Mafra;Lisboa;Área Metropolitana de Lisboa;Torres Vedras;De Mota (condutor);De Bicicleta, De Carro (Condutor);20;21 a 35 minutos;Para Desporto;3;Sim;;Mais nada, já vou de bicicleta.;0;Bicicleta de Estrada;3;;
55-59 anos;Masculino;Casado/a;Licenciatura;Mafra;Lisboa;Área Metropolitana de Lisboa;Mafra;De Bicicleta;De Carro (Condutor);20;mais de 36 minutos;Como Modo de Transporte;3;Não;;Mais nada, já vou de bicicleta.;120;Bicicleta Elétrica;4;;40
50-54 anos;Masculino;Casado/a;Ensino Secundário;Maia;Porto;Norte;Porto;De Carro (Condutor);De Mota (condutor);20;21 a 35 minutos;Para Desporto;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada, Bicicleta de Montanha;2;;100
40-44 anos;Masculino;Solteiro/a;Licenciatura;Matosinhos;Porto;Norte;Porto;De Carro (Condutor);De Carro (Condutor);20;21 a 35 minutos;Para Lazer;;Não;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta de Montanha;1;10;
40-44 anos;Masculino;Casado/a;Mestrado;Matosinhos;Porto;Norte;Maia;De Carro (Condutor);De Bicicleta;20;5 a 20 minutos;Para Lazer;2;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;0;Bicicleta de Estrada, Bicicleta de Montanha;2;100;120
50-54 anos;Masculino;Divorciado/a;Licenciatura;Matosinhos;Porto;Norte;Porto;De Transporte Público;De Bicicleta, De Carro (Condutor);20;mais de 36 minutos;Para Desporto;3;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter condições para trocar de roupa e tomar banho;10;Bicicleta de Montanha;1;;60
55-59 anos;Masculino;Casado/a;Licenciatura;Mealhada;Aveiro;Centro;Coimbra;De Carro (Condutor);A pé, De Bicicleta;20;21 a 35 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino;0;Bicicleta de Montanha;1;10;30
30-34 anos;Masculino;Solteiro/a;Mestrado;Mealhada;Aveiro;Centro;Coimbra;De Carro (Condutor);A pé, De Bicicleta, De Mota (condutor), De Carro (Passageiro);20;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino;0;Bicicleta de Montanha;1;;50
50-54 anos;Feminino;Solteiro/a;Doutoramento;Miranda do Corvo;Coimbra;Centro;Coimbra;De Transporte Público;Mais nenhum;20;21 a 35 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino, Conseguir articular o uso da bicicleta com outro modo de transporte, Se o metro Mondego pudesse transportar bicicletas (Transdev atualmente) eu levaria para coimbra;0;Bicicleta Dobrável;1;50;
55-59 anos;Masculino;Divorciado/a;Ensino Secundário;Montemor-o-Velho;Coimbra;Centro;Coimbra;De Mota (condutor);De Carro (Condutor);20;21 a 35 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino;0;Bicicleta de Estrada, Bicicleta de Montanha;1;50;
55-59 anos;Masculino;Divorciado/a;Ensino Secundário;Montemor-o-Velho;Coimbra;Centro;Coimbra;De Carro (Condutor);De Mota (condutor);20;21 a 35 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta de Montanha;1;60;
35-39 anos;Feminino;Solteiro/a;Mestrado;Odivelas;Lisboa;Área Metropolitana de Lisboa;Almada;De Carro (Condutor);A pé;20;21 a 35 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter vantagens por ir de bicicleta para o destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Montanha;1;;
60-64 anos;Masculino;Casado/a;Ensino Secundário;Odivelas;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);De Bicicleta;20;21 a 35 minutos;Para Desporto;;Não;;Garantir que os carros andem a uma velocidade reduzida;0;Bicicleta de Estrada;5;120;120
40-44 anos;Masculino;Casado/a;Licenciatura;Odivelas;Lisboa;Área Metropolitana de Lisboa;Oeiras;De Carro (Condutor);De Carro (Condutor);20;21 a 35 minutos;Para Desporto;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada;2;;100
40-44 anos;Masculino;Unido de Facto;Ensino Secundário;Odivelas;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Não uso;;;Não tenho bicicleta;Só se passasse a morar mais perto do destino;;;;;
50-54 anos;Masculino;Solteiro/a;Ensino Secundário;Oeiras;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Bicicleta;De Transporte Público;20;21 a 35 minutos;Como Modo de Transporte;7;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;200;Bicicleta Urbana/Convencional;7;10;10
30-34 anos;Masculino;Solteiro/a;Mestrado;Oeiras;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Bicicleta;A pé;20;mais de 36 minutos;Como Modo de Transporte;6;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;40;Bicicleta Elétrica, Bicicleta Urbana/Convencional;5;50;100
55-59 anos;Masculino;Casado/a;Licenciatura;Oeiras;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Mota (condutor);A pé;20;21 a 35 minutos;Para Lazer;;Não;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Cicloturismo;1;5;5
60-64 anos;Masculino;Viúvo/a;Mestrado;Oeiras;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);De Bicicleta, De Mota (condutor);20;21 a 35 minutos;Para Desporto;;Não;;Não me posso deslocar de bicicleta;0;Bicicleta Elétrica, Bicicleta de Cicloturismo, Bicicleta de Estrada;3;;60
45-49 anos;Feminino;Divorciado/a;Doutoramento;Oeiras;Lisboa;Área Metropolitana de Lisboa;Oeiras;De Transporte Público;A pé, De Carro (Condutor), De Carro (Passageiro);20;21 a 35 minutos;Para Lazer;;Sim;;Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte, Ter local para guardar a bicicleta na origem ;0;Bicicleta Urbana/Convencional;1;25;
60-64 anos;Feminino;Divorciado/a;Ensino Básico (3.º Ciclo);Oeiras;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé, De Bicicleta;20;mais de 36 minutos;Para Lazer;2;Não;;Ter vantagens por ir de bicicleta para o destino;0;Bicicleta Urbana/Convencional;2;46;
45-49 anos;Masculino;Casado/a;Licenciatura;Oeiras;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);Mais nenhum;20;mais de 36 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;2;60;
65-69 anos;Masculino;Solteiro/a;Doutoramento;Oeiras;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé;20;mais de 36 minutos;Para Lazer;7;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta Elétrica;1;25;
50-54 anos;Masculino;Casado/a;Ensino Secundário;Oeiras;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);Mais nenhum;20;mais de 36 minutos;Para Desporto;;Sim;;Ter estacionamento seguro para bicicletas no destino, Balneários no local de trabalho ou em local com acordo perto (ginásio, bombeiros...);0;Bicicleta de Estrada;2;;150
60-64 anos;Masculino;Casado/a;Mestrado;Oeiras;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé, De Bicicleta, De Transporte Público;20;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Estrada, Bicicleta de Montanha;2;;100
